"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",1.89751925542903,1.82795074252223,1.96708776833582,"<0.001",2139.32963306932,"<0.001"
"b_price",-0.0008869690888667,-0.000945068563709935,-0.000828869614023464,"<0.001",NA,NA
"b_risk2",-0.552019084790172,-0.578880511759448,-0.525157657820896,"<0.001",-622.365640154945,"<0.001"
"b_risk3",-0.498248367501443,-0.525050711453939,-0.471446023548947,"<0.001",-561.742651187615,"<0.001"
"b_duration2",0.260762411100905,0.23767181970666,0.283853002495151,"<0.001",293.992670515821,"<0.001"
"b_duration3",1.03448106601691,1.00521289806935,1.06374923396446,"<0.001",1166.31016683872,"<0.001"
"b_efficacy2",0.450341539005942,0.424692327848943,0.475990750162941,"<0.001",507.730815716874,"<0.001"
"b_efficacy3",0.967139756797614,0.937764829984704,0.996514683610523,"<0.001",1090.38721747716,"<0.001"
"b_oral",-0.0876124555132743,-0.109690464144291,-0.0655344468822576,"<0.001",-98.7773493044934,"<0.001"
"b_dose2",-0.0892262146734683,-0.110521199859432,-0.0679312294875042,"<0.001",-100.596757872898,"<0.001"
"b_dose3",-0.102612156979447,-0.123471399321974,-0.0817529146369201,"<0.001",-115.688537816528,"<0.001"
"b_imported",-0.478841250066046,-0.506128600238097,-0.451553899893995,"<0.001",-539.862387626013,"<0.001"
