"",price,risk: one in a million,risk: one in hundred thousand ,duration: 12 months,duration: life long,efficacy: 70%,efficacy: 90%,oral,3 doses,imported
Gender: Female,1.017*,0.9734,0.9746,1.057*,1.152***,1.004,1.093*,1.005,1.02,0.9962
Age: 18-39 years,1.089***,1.176**,1.134*,1.098,0.9456,1.07,1.008,1.025,1.135**,1.283***
Age: 40-59 years,1.009,0.9607,0.866**,1.063,1.007,1.038,1.048,0.9803,1.038,1.138*
Education: primary school or less,0.9179***,0.9836,0.9864,0.9305,1.081,0.9706,0.9973,0.9989,0.89*,0.7675**
Education: Middle and high school,1.002,1.082,1.1,1.019,1.097,1.077,1.073,1.028,0.9655,0.9231
Marriage: married,1.048***,1.31***,1.186***,1.003,0.9404,0.9801,0.9302,1.027,0.9795,1.005
Residence: Urban,1,0.9865,0.9568,1.031,1.104*,1.036,1.002,1.023,1.016,0.9106**
Work in a private sector,0.9837,0.9436,0.7892***,0.9871,1.204*,1.073,1.189*,1.014,0.8926*,0.7132***
Work in a public sector,1.014,0.9747,0.9562,1.021,1.063,1.113**,1.116**,1.017,0.9849,0.9658
Insurance: UEBMI,0.955**,1.004,0.9446,0.8982*,0.9681,0.9077,0.8846,1.02,0.9327,0.9411
Income: < 60000 RMB,1.025*,1.031,0.9389,1.006,1.276***,1.251***,1.489***,1.083,0.965,1.073
Income: 60000 - 149999 RMB,1.012,1.04,0.9827,0.9922,1.063,1.047,1.21***,1.007,0.9942,1.169**
Chronic: has any chronic conditions,0.9903,1.068,1.075,0.9654,0.8377*,0.9269,0.8019**,0.9869,1.055,1.079
COVID-19 vaccination history: has taken at least one dose,1.058***,1.281***,1.301***,1.203***,1.202***,1.228***,1.266***,1.021,1.031,0.9546
Depression: depressed,1.003,1.148**,1.198***,0.97,0.7404***,0.8958**,0.7913***,0.9736,1.045,1.198***
