"",Price,Risk: one in a million,Risk: one in hundred thousand ,Duration: 12 months,Duration: life long,Efficacy: 70%,Efficacy: 90%,Oral,3 doses,imported
Gender: Female,0.017*,-0.027,-0.026,0.055*,0.14***,0.0044,0.089*,0.0045,0.02,-0.0038
Age: >60 years,0.086***,0.16**,0.13*,0.094,-0.056,0.067,0.0076,0.025,0.13**,0.25***
Age: 40-59 years,0.0089,-0.04,-0.14**,0.061,0.0073,0.037,0.047,-0.02,0.038,0.13*
Education: college and above,-0.086***,-0.017,-0.014,-0.072,0.078,-0.03,-0.0027,-0.0011,-0.12*,-0.26**
Education: Middle and high school,0.0016,0.079,0.095,0.019,0.093,0.074,0.071,0.028,-0.035,-0.08
Marriage: married,0.046***,0.27***,0.17***,0.0028,-0.061,-0.02,-0.072,0.027,-0.021,0.0049
Residence: Urban,0.00045,-0.014,-0.044,0.03,0.099*,0.035,0.0017,0.023,0.016,-0.094**
No jobs,-0.016,-0.058,-0.24***,-0.013,0.19*,0.071,0.17*,0.014,-0.11*,-0.34***
Work in a public sector,0.014,-0.026,-0.045,0.02,0.061,0.11**,0.11**,0.016,-0.015,-0.035
Insurance: UEBMI,-0.046**,0.004,-0.057,-0.11*,-0.032,-0.097,-0.12,0.02,-0.07,-0.061
High income,0.025*,0.031,-0.063,0.0056,0.24***,0.22***,0.4***,0.079,-0.036,0.07
Middle income,0.012,0.039,-0.017,-0.0079,0.061,0.046,0.19***,0.0068,-0.0059,0.16**
Chronic: has any chronic conditions,-0.0098,0.066,0.073,-0.035,-0.18*,-0.076,-0.22**,-0.013,0.054,0.076
COVID-19 vaccination history: has taken at least one dose,0.056***,0.25***,0.26***,0.18***,0.18***,0.21***,0.24***,0.021,0.03,-0.046
Depression: depressed,0.0031,0.14**,0.18***,-0.03,-0.3***,-0.11**,-0.23***,-0.027,0.044,0.18***
