"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",2.8817045378185,2.80906714069719,2.95434193493982,"<0.001",NA,NA
"asc_loc",0.120819911191117,0.0970275852096306,0.144612237172604,"<0.001",NA,NA
"b_price_mu",-0.00223872409223073,-0.00274566285009237,-0.00173178533436908,"<0.001",NA,NA
"b_risk2_mu",-1.15818590581961,-1.35851971182656,-0.957852099812673,"<0.001",NA,NA
"b_risk3_mu",-0.844113659988718,-1.03062936877013,-0.657597951207306,"<0.001",NA,NA
"b_duration2_mu",0.393254013105589,0.208932643148837,0.577575383062342,"<0.001",NA,NA
"b_duration3_mu",1.27206735011469,1.01557151703591,1.52856318319346,"<0.001",NA,NA
"b_efficacy2_mu",0.40221807653322,0.206672817582705,0.597763335483735,"<0.001",NA,NA
"b_efficacy3_mu",1.06340328556287,0.839807484581861,1.28699908654388,"<0.001",NA,NA
"b_oral_mu",-0.211082084946004,-0.376581139875116,-0.045583030016891,"0.00621330466251324",NA,NA
"b_dose2_mu",-0.204675702764796,-0.233220801210703,-0.176130604318889,"<0.001",NA,NA
"b_dose3_mu",-0.148056494989276,-0.296241797482896,0.000128807504344519,"0.0250997371789274",NA,NA
"b_imported_mu",-0.653327289252101,-0.863846986130656,-0.442807592373547,"<0.001",NA,NA
"b_price_sigma",0.00371098295690917,0.00358730088167304,0.0038346650321453,"<0.001",NA,NA
"b_risk2_sigma",0.757846775934529,0.707557610788269,0.808135941080789,"<0.001",NA,NA
"b_risk3_sigma",0.693719611477684,0.638612196530984,0.748827026424383,"<0.001",NA,NA
"b_duration2_sigma",-0.360661424344658,-0.488068703806236,-0.23325414488308,"<0.001",NA,NA
"b_duration3_sigma",1.41220857979831,1.36277945237892,1.4616377072177,"<0.001",NA,NA
"b_efficacy2_sigma",-0.439398604126825,-0.574449015324183,-0.304348192929468,"<0.001",NA,NA
"b_efficacy3_sigma",-1.18199777335547,-1.22848592860928,-1.13550961810166,"<0.001",NA,NA
"b_oral_sigma",-0.718280085481467,-0.777976206106855,-0.658583964856078,"<0.001",NA,NA
"b_dose2_sigma",0.0311326706213275,-0.0927104543241441,0.154975795566799,"0.311108278731019",NA,NA
"b_dose3_sigma",0.623233226197065,0.573885419847841,0.672581032546288,"<0.001",NA,NA
"b_imported_sigma",1.42708219093575,1.37717554544432,1.47698883642718,"<0.001",NA,NA
