"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",2.90145256476423,2.82868015082476,2.97422497870371,"<0.001",1762.85440181639,"<0.001"
"b_price_mu",-0.00164588326850741,-0.00173572051034837,-0.00155604602666645,"<0.001",1,"<0.001"
"b_risk2_mu",-0.777557234439226,-0.815159013822598,-0.739955455055854,"<0.001",-472.425505087224,"<0.001"
"b_risk3_mu",-0.717142708777994,-0.752467361062007,-0.681818056493982,"<0.001",-435.719058878545,"<0.001"
"b_duration2_mu",0.453606625391627,0.422540567958635,0.484672682824618,"<0.001",275.600727020565,"<0.001"
"b_duration3_mu",1.64116934585721,1.59372741693865,1.68861127477577,"<0.001",997.13593136257,"<0.001"
"b_efficacy2_mu",0.677478062456006,0.642475683607226,0.712480441304785,"<0.001",411.619751788584,"<0.001"
"b_efficacy3_mu",1.47000167729564,1.42753417225895,1.51246918233234,"<0.001",893.138477936366,"<0.001"
"b_oral_mu",-0.106189675234342,-0.136579722650784,-0.075799627817899,"<0.001",-64.5183514932022,"<0.001"
"b_dose2_mu",-0.196338515994956,-0.224678413842487,-0.167998618147424,"<0.001",-119.290668877755,"<0.001"
"b_dose3_mu",-0.226339520976284,-0.255829049979542,-0.196849991973026,"<0.001",-137.518574559387,"<0.001"
"b_imported_mu",-0.788098985280708,-0.82728011714482,-0.748917853416595,"<0.001",-478.83042519498,"<0.001"
"b_price_sigma",0.0037769225576716,0.00364831681951275,0.00390552829583044,"<0.001",2.29476939825553,"<0.001"
"b_risk2_sigma",0.794440516915371,0.744138817150346,0.844742216680396,"<0.001",482.683390806821,"<0.001"
"b_risk3_sigma",0.719231021271058,0.665409537819877,0.773052504722238,"<0.001",436.987868479458,"<0.001"
"b_duration2_sigma",-0.394599270687288,-0.505205407985596,-0.283993133388979,"<0.001",-239.749244820463,"<0.001"
"b_duration3_sigma",1.4184250254093,1.36744242016275,1.46940763065584,"<0.001",861.801716166426,"<0.001"
"b_efficacy2_sigma",-0.426396903748671,-0.560665818764339,-0.292127988733002,"<0.001",-259.068739507482,"<0.001"
"b_efficacy3_sigma",-1.19542949478399,-1.24248855700623,-1.14837043256175,"<0.001",-726.314871569278,"<0.001"
"b_oral_sigma",-0.740725154683153,-0.80133603503173,-0.680114274334577,"<0.001",-450.04719888482,"<0.001"
"b_dose2_sigma",-0.0222699081694262,-0.143551361091661,0.0990115447528088,"0.359463970581581",-13.5306729192416,"0.718955844729677"
"b_dose3_sigma",0.625566804664263,0.575904182092302,0.675229427236225,"<0.001",380.079691332889,"<0.001"
"b_imported_sigma",1.44070947665003,1.39056955371383,1.49084939958624,"<0.001",875.341225114072,"<0.001"
