"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",-0.438673953885904,-0.522672964581521,-0.354674943190287,"<0.001",-14.8282343590403,"<0.001"
"b_price_mu",-0.029583694407855,-0.0306973407741592,-0.0284700480415508,"<0.001",1,"<0.001"
"b_risk2_mu",-0.405993451968657,-0.449835153064229,-0.362151750873085,"<0.001",-13.7235548194704,"<0.001"
"b_risk3_mu",-0.781029178054937,-0.827150771799667,-0.734907584310207,"<0.001",-26.4006640714745,"<0.001"
"b_duration2_mu",0.495558247110871,0.446708536643053,0.544407957578689,"<0.001",16.7510602387541,"<0.001"
"b_duration3_mu",1.6553092911606,1.59295181124188,1.71766677107933,"<0.001",55.9534339538435,"<0.001"
"b_efficacy2_mu",0.83653342176705,0.775193540039832,0.897873303494268,"<0.001",28.276840959557,"<0.001"
"b_efficacy3_mu",1.57228111992295,1.50676294913324,1.63779929071266,"<0.001",53.1468821387461,"<0.001"
"b_VC_mu",-0.121433507033934,-0.160439984598495,-0.0824270294693729,"<0.001",-4.10474450417833,"<0.001"
"b_dose2_mu",-0.445957207108434,-0.495624629175457,-0.39628978504141,"<0.001",-15.0744258293185,"<0.001"
"b_dose3_mu",-0.482400384684928,-0.537663738101541,-0.427137031268315,"<0.001",-16.3062928528914,"<0.001"
"b_US_mu",1.95067979012959,1.88201738397697,2.0193421962822,"<0.001",65.9376669876514,"<0.001"
"b_DE_mu",1.11171464706996,1.05297664433135,1.17045264980857,"<0.001",37.5786280017408,"<0.001"
"b_price_sigma",0.0278813684813862,0.0266611253338059,0.0291016116289665,"<0.001",0.942457290729153,"<0.001"
"b_risk2_sigma",-0.908439011610338,-0.979265410386449,-0.837612612834227,"<0.001",-30.7074227811497,"<0.001"
"b_risk3_sigma",-0.709713068991235,-0.798003390358427,-0.621422747624043,"<0.001",-23.990008117539,"<0.001"
"b_duration2_sigma",-0.906638415901798,-0.98089066569195,-0.832386166111646,"<0.001",-30.6465583169717,"<0.001"
"b_duration3_sigma",1.30283037724449,1.23174612924367,1.37391462524531,"<0.001",44.0387991872498,"<0.001"
"b_efficacy2_sigma",-1.39791618700398,-1.47430119732202,-1.32153117668594,"<0.001",-47.252928174948,"<0.001"
"b_efficacy3_sigma",-1.48254711985935,-1.55668753851118,-1.40840670120753,"<0.001",-50.1136571862949,"<0.001"
"b_VC_sigma",-0.590360175409117,-0.675805424968473,-0.504914925849762,"<0.001",-19.955593350517,"<0.001"
"b_dose2_sigma",-0.485381607221244,-0.601953251365234,-0.368809963077255,"<0.001",-16.4070653424667,"<0.001"
"b_dose3_sigma",0.975854588076076,0.905269164693025,1.04644001145913,"<0.001",32.9862313550998,"<0.001"
"b_US_sigma",1.4302219019519,1.34355553775399,1.5168882661498,"<0.001",48.3449390138424,"<0.001"
"b_DE_sigma",1.22274916071717,1.15221287547678,1.29328544595756,"<0.001",41.3318615268182,"<0.001"
