"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",-0.426998666735208,-0.50437881473707,-0.349618518733346,"<0.001",-22.7586250088902,"<0.001"
"b_price_mu",-0.018762059068525,-0.0194523911487441,-0.0180717269883059,"<0.001",1,"<0.001"
"b_risk2_mu",-0.321188314759386,-0.358848897453832,-0.28352773206494,"<0.001",-17.1190333420391,"<0.001"
"b_risk3_mu",-0.553354419342843,-0.592182672536137,-0.514526166149548,"<0.001",-29.4932670940762,"<0.001"
"b_duration2_mu",0.334799010365548,0.294421497293841,0.375176523437255,"<0.001",17.8444705425324,"<0.001"
"b_duration3_mu",1.3620972884351,1.3075685354636,1.4166260414066,"<0.001",72.598496969884,"<0.001"
"b_efficacy2_mu",0.674593985918634,0.629222535175714,0.719965436661553,"<0.001",35.9552213035254,"<0.001"
"b_efficacy3_mu",1.43155261396647,1.37654430175373,1.48656092617922,"<0.001",76.3004001180247,"<0.001"
"b_oral_mu",-0.0151264987648928,-0.0417314451215729,0.0114784475917873,"0.132563155603701",-0.806228074948811,"0.264733647026317"
"b_dose2_mu",-0.206868969381879,-0.245998032572113,-0.167739906191645,"<0.001",-11.025920376134,"<0.001"
"b_dose3_mu",-0.383454021446474,-0.424510560624512,-0.342397482268436,"<0.001",-20.4377366069458,"<0.001"
"b_imported2_mu",0.722419935911426,0.675177646927716,0.769662224895136,"<0.001",38.5042991962086,"<0.001"
"b_imported3_mu",1.68224567505376,1.6177830849239,1.74670826518361,"<0.001",89.6621031257636,"<0.001"
"b_price_sigma",-0.021487639903754,-0.0222099132017654,-0.0207653666057427,"<0.001",-1.14527088019893,"<0.001"
"b_risk2_sigma",0.407046364840451,0.208488836915666,0.605603892765236,"<0.001",21.6951861921865,"<0.001"
"b_risk3_sigma",-0.781287934726877,-0.848071213364956,-0.714504656088799,"<0.001",-41.6419078456882,"<0.001"
"b_duration2_sigma",0.866545492072666,0.792715857678634,0.940375126466698,"<0.001",46.1860550010938,"<0.001"
"b_duration3_sigma",-1.62522553439078,-1.69121400501826,-1.55923706376329,"<0.001",-86.6229835677915,"<0.001"
"b_efficacy2_sigma",-1.26317705510078,-1.33329012469024,-1.19306398551133,"<0.001",-67.326142108777,"<0.001"
"b_efficacy3_sigma",1.63008490747399,1.5653463257262,1.69482348922178,"<0.001",86.8819835563038,"<0.001"
"b_oral_sigma",0.599784845272651,0.527397435300301,0.672172255245001,"<0.001",31.9679648743267,"<0.001"
"b_dose2_sigma",0.96644722680822,0.903934427754614,1.02896002586183,"<0.001",51.5107229584155,"<0.001"
"b_dose3_sigma",0.930183502241623,0.863336762771954,0.997030241711293,"<0.001",49.5779007434257,"<0.001"
"b_imported2_sigma",-1.32436666226636,-1.38538891016151,-1.2633444143712,"<0.001",-70.5874902871454,"<0.001"
"b_imported3_sigma",1.76450702716011,1.69240432333683,1.83660973098339,"<0.001",94.0465553762286,"<0.001"
