"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",2.14028551203584,2.08591980789506,2.19465121617663,"<0.001",3908.75370750615,"<0.001"
"b_price",-0.00054756213161391,-0.000595421592468703,-0.000499702670759118,"<0.001",NA,NA
"b_risk2",-0.354019713318235,-0.379229374204054,-0.328810052432415,"<0.001",-646.537977845145,"<0.001"
"b_risk3",-0.326952055672003,-0.350456922813455,-0.30344718853055,"<0.001",-597.104943521804,"<0.001"
"b_duration2",0.143657184575968,0.127277513837634,0.160036855314302,"<0.001",262.35777874658,"<0.001"
"b_duration3",0.65135402246525,0.609782006320028,0.692926038610471,"<0.001",1189.55271896802,"<0.001"
"b_efficacy2",0.291969022063468,0.26960735745974,0.314330686667195,"<0.001",533.216241968568,"<0.001"
"b_efficacy3",0.619406887215899,0.579116846121953,0.659696928309845,"<0.001",1131.20840805815,"<0.001"
"b_oral",-0.0748727473735949,-0.0873399702430904,-0.0624055245040994,"<0.001",-136.738359084313,"<0.001"
"b_dose2",-0.0459070742819276,-0.0576930002021098,-0.0341211483617454,"<0.001",-83.8390232476795,"<0.001"
"b_dose3",-0.0563979367554468,-0.0684581486336428,-0.0443377248772507,"<0.001",-102.998241659292,"<0.001"
"b_imported",-0.291849238949571,-0.31563190058195,-0.268066577317193,"<0.001",-532.997484850461,"<0.001"
"lambda_PT",0.614373301751351,0.574099644868711,0.65464695863399,"<0.001",1122.01568786453,"<0.001"
