"",price,risk: one in a million,risk: one in hundred thousand ,duration: 12 months,duration: life long,efficacy: 70%,efficacy: 90%,oral,2 doses,3 doses,imported
Gender: Female,0.9993,0.9742*,0.9706*,0.9995,1.041**,0.998,1.038*,0.9947,1.004,0.997,0.9805
Age: 18-39 years,1.024***,1.042,1.036,1.003,0.9244**,0.9754,0.9433*,0.9886,0.9865,1.03,1.085**
Age: 40-59 years,1.002,0.9581,0.9261**,1.012,0.999,0.9922,1.003,0.9711,0.9832,1.008,1.045
Education: primary school or less,0.9777**,1.001,1.004,0.9951,1.07*,1.027,1.034,1.014,1.015,0.972,0.9005**
Education: Middle and high school,0.998,1.007,1.01,0.9928,1.026,1.045,1.027,1.002,1.031,0.987,0.9434*
Marriage: married,1.018***,1.126***,1.078***,1.001,0.957*,0.9745,0.9352***,1.02,1.006,0.9948,1.008
Residence: Urban,0.9985,0.9999,0.9727*,1,1.04*,1.002,0.9976,1.01,1.009,1.006,0.9708*
Work in a private sector,0.9928,0.9893,0.9174**,0.9948,1.136***,1.076**,1.107**,1.02,0.9869,0.9632,0.869***
Work in a public sector,1.006,0.9846,0.9831,0.9894,1.021,1.042**,1.053**,1.013,0.9893,0.9891,0.9875
Insurance: UEBMI,0.984**,1.019,0.9962,0.9812,1.016,0.9997,0.9634,1.007,1.01,0.9819,0.9779
Income: < 60000 RMB,1.005,0.9788,0.9552*,0.9774,1.079**,1.104***,1.172***,1.022,0.9942,0.9795,0.9982
Income: 60000 - 149999 RMB,0.9983,0.9925,0.9764,0.977,1.019,1.026,1.081***,1.003,1.023,1.004,1.045*
Chronic: has any chronic conditions,1.008,1.087**,1.085**,1.056*,0.9524,0.9924,0.9234**,1.021,0.9579*,1.023,1.068**
COVID-19 vaccination history: has taken at least one dose,1.002,1.03*,1.032*,0.9836,0.9973,1.017,1.04*,0.9758*,1.031**,0.9956,0.936***
Depression: depressed,1.002,1.074***,1.109***,1.005,0.8816***,0.9542**,0.8948***,0.9904,1.003,1.033*,1.092***
