"",Price,Risk: one in a million,Risk: one in hundred thousand ,Duration: 12 months,Duration: life long,Efficacy: 70%,Efficacy: 90%,Oral,2 doses,3 doses,imported
Gender: Female,-0.00067,-0.026*,-0.03*,-0.00047,0.04**,-0.002,0.037*,-0.0053,0.0038,-0.003,-0.02
Age: >60 years,0.023***,0.042,0.035,0.0033,-0.079**,-0.025,-0.058*,-0.011,-0.014,0.029,0.082**
Age: 40-59 years,0.0022,-0.043,-0.077**,0.012,-0.001,-0.0078,0.0031,-0.029,-0.017,0.008,0.044
Education: college and above,-0.023**,0.00072,0.0041,-0.005,0.067*,0.027,0.034,0.014,0.015,-0.028,-0.1**
Education: Middle and high school,-0.002,0.0068,0.01,-0.0073,0.025,0.044,0.027,0.0019,0.031,-0.013,-0.058*
Marriage: married,0.018***,0.12***,0.075***,0.0014,-0.044*,-0.026,-0.067***,0.02,0.0063,-0.0052,0.0075
Residence: Urban,-0.0015,-1e-04,-0.028*,0.00013,0.04*,0.0017,-0.0024,0.0099,0.009,0.0061,-0.03*
No jobs,-0.0072,-0.011,-0.086**,-0.0052,0.13***,0.073**,0.1**,0.02,-0.013,-0.037,-0.14***
Work in a public sector,0.0056,-0.016,-0.017,-0.011,0.021,0.041**,0.052**,0.013,-0.011,-0.011,-0.013
Insurance: UEBMI,-0.016**,0.018,-0.0038,-0.019,0.016,-0.00034,-0.037,0.0066,0.01,-0.018,-0.022
High income,0.005,-0.021,-0.046*,-0.023,0.076**,0.099***,0.16***,0.021,-0.0058,-0.021,-0.0018
Middle income,-0.0017,-0.0075,-0.024,-0.023,0.019,0.025,0.078***,0.0033,0.023,0.0037,0.044*
Chronic: has any chronic conditions,0.0082,0.084**,0.081**,0.054*,-0.049,-0.0077,-0.08**,0.021,-0.043*,0.023,0.066**
COVID-19 vaccination history: has taken at least one dose,0.0018,0.03*,0.032*,-0.017,-0.0027,0.017,0.039*,-0.025*,0.03**,-0.0044,-0.066***
Depression: depressed,0.0018,0.071***,0.1***,0.0048,-0.13***,-0.047**,-0.11***,-0.0097,0.0034,0.032*,0.088***
