"",Price,Risk: one in a million,Risk: one in hundred thousand ,Duration: 12 months,Duration: life long,Efficacy: 70%,Efficacy: 90%,Oral,2 doses,3 doses,imported
Gender: Female,-0.0016,-0.041*,-0.028,0.0074,0.042*,0.0032,0.037*,-0.014,-0.013,-0.00066,-0.015
Age: >60 years,0.023***,0.063*,0.048,0.017,-0.08*,-0.037,-0.037,0.0021,-0.012,0.021,0.085**
Age: 40-59 years,0.0014,-0.041,-0.081**,0.016,0.0036,-0.014,0.027,-0.031,-0.021,0.011,0.063*
Education: college and above,-0.021*,0.0059,-0.0039,0.0073,0.081*,0.032,-0.00038,0.025,0.016,-0.017,-0.099*
Education: Middle and high school,-7e-04,0.011,0.015,0.0068,0.016,0.029,-0.014,0.01,0.047*,0.0067,-0.045
Marriage: married,0.015***,0.12***,0.088***,-0.013,-0.066**,-0.02,-0.086***,0.027,-0.0034,-0.0037,-0.014
Residence: Urban,-0.0045,0.002,-0.024,-0.0023,0.041*,-0.0062,0.011,0.013,0.02,0.0049,-0.034*
No jobs,-0.01,0.0034,-0.12***,-0.018,0.15***,0.082*,0.13**,0.044,0.00025,-0.045,-0.16***
Work in a public sector,0.011**,-0.014,-0.021,0.0028,0.029,0.058**,0.069**,0.017,0.0016,-0.0081,-0.019
Insurance: UEBMI,-0.019**,0.033,-0.015,-0.021,0.046,0.0077,-0.02,0.022,0.002,-0.044*,-0.041
High income,0.002,-0.042,-0.072**,-0.029,0.096**,0.12***,0.18***,0.022,-0.0036,-0.015,-0.0095
Middle income,-0.0066,-0.024,-0.048*,-0.02,0.025,0.044*,0.092***,0.016,0.026,0.01,0.031
Chronic: has any chronic conditions,0.012,0.074*,0.062*,0.053*,-0.057,-0.022,-0.067*,0.0045,-0.032,0.016,0.066*
COVID-19 vaccination history: has taken at least one dose,0.00063,0.027,0.02,-0.01,-0.00055,0.026,0.048**,-0.023,0.028*,-0.01,-0.07***
Depression: depressed,-0.003,0.074***,0.11***,-0.0041,-0.13***,-0.045*,-0.1***,-0.0073,0.016,0.041*,0.082***
