"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"b_Hebei1",-0.0986630740170047,-0.362033228044394,0.164707080010385,"0.23140219979928",-183.892709788057,"0.470350798362804"
"b_Shanxi2",0.151529742046411,-0.145539993487155,0.448599477579976,"0.158717897817837",282.428002127697,"0.328612015286427"
"b_Liaoning3",-0.42022371503208,-0.659391089484072,-0.181056340580087,"<0.001",-783.23200897972,"0.00577213880139787"
"b_Jilin4",0.404904251363473,0.103187578702964,0.706620924023982,"0.00426579414364825",754.67889815698,"0.0228191384763474"
"b_Heilongjiang5",0.220751567098645,-0.0974066872609579,0.538909821458248,"0.086929934513529",411.446777512055,"0.193355088930335"
"b_Jiangsu6",-0.198524677699171,-0.45065313418472,0.0536037787863787,"0.0613831517612844",-370.019293495854,"0.141899341169057"
"b_Zhejiang7",0.0817632789993859,-0.189918995822902,0.353445553821674,"0.277644014333341",152.394105759999,"0.558511535729194"
"b_Anhui8",0.0503300864908967,-0.199864727526764,0.300524900508558,"0.346689604489354",93.807496683948,"0.694511456279157"
"b_Fujian9",0.0431790328211123,-0.253568330176687,0.339926395818912,"0.387749330936231",80.4790386941855,"0.775905439945549"
"b_Jiangxi10",0.132413475029307,-0.158284476183257,0.42311142624187,"0.185990884873742",246.798237113469,"0.381148707620131"
"b_Shandong11",-0.245769217061098,-0.490043732512697,-0.00149470160949983,"0.0243072639756249",-458.075807571788,"0.068552247971949"
"b_Henan12",0.103483567245951,-0.184882892079924,0.391850026571825,"0.240917191714689",192.877363582982,"0.48490052017227"
"b_Hubei13",0.003172743368306,-0.280226582589935,0.286572069326547,"0.491246949379096",5.91350291152819,"0.982495379505216"
"b_Hunan14",0.0948821604884818,-0.176193222324135,0.365957543301099,"0.24634736000758",176.845671763329,"0.497642264713229"
"b_Guangdong15",-0.0169242905803993,-0.274844726452888,0.240996145292089,"0.448833352481098",-31.5442599683618,"0.897673664935288"
"b_Hainan16",-0.0742717531580646,-0.370473707242069,0.22193020092594,"0.311552300361713",-138.431060303191,"0.625158071358676"
"b_Sichuan17",0.160460626520421,-0.113943198986005,0.434864452026848,"0.125874759554374",299.073789450793,"0.267387385364745"
"b_Guizhou18",0.160203780111285,-0.125447969970415,0.445855530192986,"0.135836423038639",298.595067470499,"0.286147457061261"
"b_Yunnan19",-0.00822993068812143,-0.290689886629047,0.274230025252804,"0.477230083045527",-15.3393178824501,"0.954461676576223"
"b_Shaanxi20",0.0327594577454314,-0.237670254692792,0.303189170183655,"0.406162712517587",61.0585623447782,"0.812609780910901"
"b_Gansu21",-0.0473757250169383,-0.332253544095966,0.237502094062089,"0.372232699840458",-88.3010238464402,"0.745150711603658"
"b_Qinghai22",-0.144268911426297,-0.413551883108424,0.125014060255829,"0.146846464736021",-268.89493688168,"0.306465964030594"
"b_Neimongol23",0.307506651574463,-0.00484480920384706,0.619858112352774,"0.0268304756394028",573.144836599494,"0.075166222441744"
"b_Guangxi24",0.0433169061249702,-0.233940385965924,0.320574198215864,"0.379721527531319",80.7360132077656,"0.759801060506431"
"b_Tibet25",0.177053708941955,-0.109005809262514,0.463113227146424,"0.112545733985611",330.000728638868,"0.240535462237083"
"b_Ningxia26",0.119264437223262,-0.212656861489613,0.451185735936138,"0.240640024477777",222.290464399613,"0.486290802624484"
"b_Xinjiang27",0.123774627935046,-0.158529485548979,0.406078741419072,"0.19507785237713",230.696762296919,"0.398005779178339"
"b_Beijing28",-0.331300547097412,-0.568935256445154,-0.0936658377496694,"0.00314277164681986",-617.492977661618,"0.0189729090428465"
"b_Shanghai29",-0.615926203350859,-0.832223546706303,-0.399628859995415,"<0.001",-1147.99117797747,"<0.001"
"b_Tianjin30",-0.0101470977447729,-0.2942968300816,0.274002634592054,"0.472100380407046",-18.9126207485586,"0.944206040536095"
"b_Chongqing31",-0.199124958256587,-0.470686958403086,0.0724370418899123,"0.150675019835306",-371.138123609715,"0.17185148826776"
