"",Estimate,2.5%,97.5%,p_value,WTP,WTP_p_value
asc,1.93674615944238,1.53960676859841,2.33388555028636,<0.001,3609.79528541842,<0.001
b_price,-0.000536525206087383,-0.000766858971242702,-0.000306191440932064,<0.001,,
b_risk2,-0.480011287708323,-0.58802745476888,-0.371995120647767,<0.001,-894.666797127411,<0.001
b_risk3,-0.304756617942188,-0.407538225304963,-0.201975010579414,<0.001,-568.019199255576,<0.001
b_duration2,0.16745297470163,0.0771449401013072,0.257761009301952,<0.001,312.106444956766,0.00732214031799971
b_duration3,0.566048911429886,0.449275881048135,0.682821941811638,<0.001,1055.0276203383,<0.001
b_efficacy2,0.195793945210115,0.0992198635326267,0.292368026887604,<0.001,364.929630497596,0.00334238202779469
b_efficacy3,0.526515848544956,0.410876392553927,0.642155304535985,<0.001,981.34410568439,<0.001
b_oral,-0.135008380528544,-0.218546600196978,-0.0514701608601106,<0.001,-251.634739611014,0.00734920315095865
b_dose2,-0.0997653185272041,-0.17883265493158,-0.0206979821228282,0.00669851767593388,-185.947123071335,0.0296024875863954
b_dose3,-0.0286224274290608,-0.106807811067329,0.0495629562092075,0.236529212325441,-53.3477777079482,0.477910279645898
b_imported,-0.188109998304659,-0.291462739948365,-0.0847572566609544,<0.001,-350.607941938933,0.0069003793672219
b_gender_2l,0.180735077029926,0.0558874717620056,0.305582682297846,0.0022746062605018,336.862229359061,0.0169853906576529
b_age_high,0.361073911210828,0.12369031482847,0.598457507593185,0.00143552934433877,672.985923334271,0.0128959686438972
b_age_mid,0.153111522022597,-0.0623544637329445,0.368577507778139,0.0818457239779351,285.37619535001,0.182795656962905
b_education_high,-0.475649207238631,-0.773887262467984,-0.177411152009279,<0.001,-886.536553813211,0.00863661652939272
b_education_mid,-0.0442497791031331,-0.30900409176322,0.220504533556954,0.371614971969479,-82.4747441519572,0.743033594425618
b_marriage_2l,-0.00163976110444451,-0.154478324257031,0.151198802048142,0.491611703235366,-3.05626107746641,0.983220662726856
b_residence_2l,-0.038018349788102,-0.170989838844521,0.0949531392683171,0.287610049853715,-70.8603237215102,0.578597537994671
b_occupation_high,-0.1966209034391,-0.498435509601793,0.105193702723593,0.100828827579217,-366.470952731113,0.215057079711841
b_occupation_mid,0.105610278127012,-0.0385393422097295,0.249759898463753,0.0755075994593942,196.841223727727,0.172162409754859
b_insurance_2l,-0.324284754909109,-0.59858697973708,-0.0499825300811379,0.0102490675391769,-604.416626152497,0.0360910443448932
b_income_high,0.227312025095613,0.00768795572816974,0.446936094463056,0.0212509178400995,423.674456514892,0.0706503734217465
b_income_mid,0.137613506202055,-0.0446918596945371,0.319918872098647,0.069505763023636,256.490290932654,0.168122360126597
b_chronic_2l,-0.307642741018431,-0.536993178786891,-0.0782923032499703,0.00428146716444,-573.398486274148,0.0230940980760957
b_hasvaccined_2l,0.665972364829454,0.544536960271249,0.787407769387658,<0.001,1241.26948235306,<0.001
b_depression_2l,-0.0634568471618564,-0.231048369803262,0.104134675479549,0.2290071101558,-118.273748263602,0.461682571651838
