"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",1.6099309455594,1.26971531013935,1.95014658097945,"<0.001",3235.05096573939,"<0.001"
"b_price",-0.000497652421123895,-0.000695425542669441,-0.000299879299578349,"<0.001",NA,NA
"b_risk2",-0.420722757515492,-0.514275545760928,-0.327169969270056,"<0.001",-845.414871217414,"<0.001"
"b_risk3",-0.290987850434679,-0.382499184782276,-0.199476516087082,"<0.001",-584.72105847996,"<0.001"
"b_duration2",0.175766541404641,0.0967994665512893,0.254733616257992,"<0.001",353.191372017624,"0.00193972316733726"
"b_duration3",0.539596232976687,0.4360379890304,0.643154476922973,"<0.001",1084.28334731712,"<0.001"
"b_efficacy2",0.199541667007233,0.115031297418646,0.28405203659582,"<0.001",400.965932319971,"<0.001"
"b_efficacy3",0.507444418412859,0.406352398827057,0.608536437998661,"<0.001",1019.67637827793,"<0.001"
"b_oral",-0.088983786898624,-0.163136573104642,-0.014831000692606,"0.00933717808271872",-178.80710134528,"0.0324500709625342"
"b_dose2",-0.0774056431521919,-0.147836319969197,-0.00697496633518641,"0.0156175279995423",-155.541578552717,"0.049870230495241"
"b_dose3",-0.0196253135410613,-0.0882968677743133,0.0490462406921907,"0.287695831184221",-39.4357843105427,"0.577944375915268"
"b_imported",-0.218271078545293,-0.307908328879165,-0.128633828211422,"<0.001",-438.601460136276,"<0.001"
"b_gender_2l",0.15120649217672,0.0444837999984795,0.25792918435496,"0.00274392117120048",303.839559014374,"0.017075711356608"
"b_age_high",0.510280384276036,0.296993938571415,0.723566829980656,"<0.001",1025.37506624327,"<0.001"
"b_age_mid",0.142878084016739,-0.0423690969082534,0.328125264941731,"0.0653066549683449",287.104167390694,"0.147707507903081"
"b_education_high",-0.427719695877506,-0.687603105026862,-0.16783628672815,"<0.001",-859.474761343563,"0.00602115084122782"
"b_education_mid",0.0992826429301498,-0.126787058556008,0.325352344416307,"0.194686766872134",199.501979124166,"0.400661449593301"
"b_marriage_2l",0.139334863962266,0.00443283588753715,0.274236892036995,"0.0214661636787201",279.984298373538,"0.0671542812331398"
"b_residence_2l",-0.0195127963387686,-0.131930318251462,0.0929047255739243,"0.366853169735473",-39.2096883497543,"0.734356245817367"
"b_occupation_high",-0.229436387096888,-0.46157009804424,0.0026973238504637,"0.0263610737486275",-461.037417599075,"0.0667029010980839"
