"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"b_Hebei1",-0.0902727903036385,-0.352894536924936,0.17234895631766,"0.250247220907317",-149.032143534926,"0.504113069528882"
"b_Shanxi2",0.153982916890164,-0.142849644872443,0.450815478652771,"0.154639020737818",254.211751899028,"0.316129896290874"
"b_Liaoning3",-0.428502850504542,-0.667555964702173,-0.18944973630691,"<0.001",-707.419124929208,"0.0023293368308413"
"b_Jilin4",0.397908618397189,0.0978328199615365,0.697984416832841,"0.00467526243503147",656.910838042012,"0.0174823207158374"
"b_Heilongjiang5",0.2130873980683,-0.103241632109236,0.529416428245836,"0.0933703881475827",351.78785974802,"0.198374422902802"
"b_Jiangsu6",-0.194173907289861,-0.447341442798117,0.0589936282183957,"0.0663874126592261",-320.563411462353,"0.143936342738045"
"b_Zhejiang7",0.0886050048464293,-0.183626640520076,0.360836650212934,"0.261762153021308",146.278781854089,"0.525982757498295"
"b_Anhui8",0.0650222824003354,-0.184977230838307,0.315021795638977,"0.305107592216548",107.345857938599,"0.611629831265933"
"b_Fujian9",0.037847154643725,-0.259033312317068,0.334727621604518,"0.401347149035733",62.4822004978486,"0.802860476535531"
"b_Jiangxi10",0.139873146266859,-0.151305660068282,0.431051952601999,"0.173223040313538",230.917807470099,"0.352634388598876"
"b_Shandong11",-0.241010229521075,-0.486488701790245,0.00446824274809626,"0.0271592236438297",-397.88590779743,"0.0660613725156549"
"b_Henan12",0.125371798638933,-0.163028837235354,0.413772434513221,"0.19710043715832",206.977405120004,"0.397745009850464"
"b_Hubei13",0.00733781505919977,-0.276279910277246,0.290955540395646,"0.479778868215198",12.1140634232874,"0.959564601385165"
"b_Hunan14",0.106549380511901,-0.165339648026976,0.378438409050778,"0.221219366587947",175.903309475603,"0.446402410462579"
"b_Guangdong15",-0.0131916234454148,-0.272813593152501,0.246430346261672,"0.460335902993337",-21.7781671770981,"0.920675888587404"
"b_Hainan16",-0.0770520187800019,-0.373183226000451,0.219079188440447,"0.305034879388051",-127.205855539111,"0.611339269636584"
"b_Sichuan17",0.168522772664733,-0.105838063992628,0.442883609322094,"0.114317248166971",278.215727687127,"0.238593331817058"
"b_Guizhou18",0.16250268380284,-0.121415023450766,0.446420391056446,"0.130973350933766",268.277110033448,"0.271562371101508"
"b_Yunnan19",-0.00289199573991033,-0.284241556507811,0.27845756502799,"0.491963255043265",-4.77442120447383,"0.98392611754933"
"b_Shaanxi20",0.0268051257799027,-0.243270721052073,0.296880972611879,"0.422881574832042",44.252817922935,"0.84588293586436"
"b_Gansu21",-0.0578515178040239,-0.34003490709955,0.224331871491502,"0.343908300755586",-95.5075795938383,"0.688548452453867"
"b_Qinghai22",-0.133811002537434,-0.403123079994344,0.135501074919475,"0.165069956182577",-220.909761065705,"0.337842821590352"
"b_Neimongol23",0.294449920957768,-0.0189666271833301,0.607866469098865,"0.0327847501073486",486.109964435839,"0.0780661930205793"
"b_Guangxi24",0.0644774908528734,-0.213343772764949,0.342298754470696,"0.324600086343625",106.446456781009,"0.649901604556828"
"b_Tibet25",0.222607590296983,-0.0697952906248484,0.515010471218815,"0.0678326468290746",367.504828836191,"0.147623882520791"
"b_Ningxia26",0.100304288196847,-0.228893466504841,0.429502042898534,"0.275191093571708",165.59323164201,"0.551766634622615"
"b_Xinjiang27",0.126841253536645,-0.155026247911865,0.408708754985154,"0.188891135257356",209.403341135687,"0.38244025509326"
"b_Beijing28",-0.335167631770918,-0.564685095093601,-0.105650168448235,"0.00210379950218498",-553.33119136267,"0.00985680134894486"
"b_Shanghai29",-0.614101390700323,-0.82721782631891,-0.400984955081735,"<0.001",-1013.82538742861,"<0.001"
"b_Tianjin30",-0.117665129641347,-0.39729662704186,0.161966367759165,"0.204763532796635",-194.254397485465,"0.414015981988511"
"b_Chongqing31",-0.196404553773137,-0.466921808112654,0.07411270056638,"0.674020853513706",-324.246005361945,"0.167834723616541"
