"","Estimate","2.5%","97.5%","p_value","WTP","WTP_p_value"
"asc",2.15013145563053,2.08749525416877,2.2127676570923,"<0.001",3808.69915206277,"<0.001"
"b_price",-0.000564531712741353,-0.000620803703810145,-0.000508259721672561,"<0.001",NA,NA
"b_risk2",-0.3574127611769,-0.386300352983899,-0.328525169369902,"<0.001",-633.11369956758,"<0.001"
"b_risk3",-0.329729228621549,-0.356375900046994,-0.303082557196104,"<0.001",-584.075652757206,"<0.001"
"b_duration2",0.139416556879044,0.12054899214865,0.158284121609438,"<0.001",246.95965475888,"<0.001"
"b_duration3",0.652843186157644,0.605270750818991,0.700415621496296,"<0.001",1156.43314879062,"<0.001"
"b_efficacy2",0.293883433624393,0.268367202610827,0.31939966463796,"<0.001",520.57914018205,"<0.001"
"b_efficacy3",0.617465171081284,0.571702571332006,0.663227770830562,"<0.001",1093.76525205801,"<0.001"
"b_oral",-0.0741535705666267,-0.0885673856018735,-0.0597397555313798,"<0.001",-131.354127488319,"<0.001"
"b_dose2",-0.0451395429204817,-0.0588378182117227,-0.0314412676292406,"<0.001",-79.9592687207687,"<0.001"
"b_dose3",-0.0579394223628536,-0.0718756450402308,-0.0440031996854763,"<0.001",-102.63271496565,"<0.001"
"b_imported",-0.306831288606431,-0.335160835124013,-0.278501742088849,"<0.001",-543.514707289809,"<0.001"
"lambda_PT",0.606942357752866,0.561450915987861,0.652433799517871,"<0.001",1075.12535443858,"<0.001"
